unix_time,frame_ts_us,tracker_id,cx_px,cy_px,bx,by,w_px,h_px,processing_time_s
1763656248.402399,1845000,1,121.17997741699219,230.7688751220703,6,11,44,110,0.0
1763656248.402399,1845000,2,366.67840576171875,200.69204711914062,18,10,38,41,0.0
1763656248.402399,1845000,3,334.5573425292969,121.1489486694336,16,6,69,34,0.0
1763656248.4404967,1880000,1,119.84503173828125,247.6085662841797,5,12,38,115,0.0
1763656248.4404967,1880000,2,364.916748046875,198.9733123779297,18,9,40,42,0.0
1763656248.4404967,1880000,3,325.5791320800781,120.419189453125,16,6,71,32,0.0
1763656248.4713001,1915000,1,119.79631805419922,258.5526428222656,5,12,38,119,0.0
1763656248.4713001,1915000,2,363.0609436035156,196.9256134033203,18,9,41,41,0.0
1763656248.4713001,1915000,3,318.7842712402344,120.03907775878906,15,6,74,30,0.0
1763656248.5018253,1945000,1,120.4072036743164,270.6087951660156,6,13,41,118,0.0
1763656248.5018253,1945000,2,361.3917541503906,195.5105743408203,18,9,42,40,0.0
1763656248.5018253,1945000,3,311.6034240722656,120.1085205078125,15,6,72,32,0.0
1763656248.541856,1980000,1,122.11286163330078,282.2734375,6,14,45,120,0.0
1763656248.541856,1980000,2,359.78936767578125,194.1629638671875,17,9,41,38,0.0
1763656248.541856,1980000,3,303.6438903808594,120.61003875732422,15,6,69,32,0.0
1763656248.570938,2015000,1,124.23469543457031,293.4888916015625,6,14,49,120,0.0
1763656248.570938,2015000,2,357.926025390625,192.73179626464844,17,9,42,38,0.0
1763656248.570938,2015000,3,296.4272155761719,121.47065734863281,14,6,68,34,0.0
1763656248.6018145,2045000,1,127.43562316894531,306.44952392578125,6,15,54,116,0.0
1763656248.6018145,2045000,2,355.568359375,190.98355102539062,17,9,41,37,0.0
1763656248.6018145,2045000,3,290.68035888671875,122.40635681152344,14,6,70,34,0.0
1763656248.6386683,2080000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.6386683,2080000,2,353.1159362792969,189.40579223632812,17,9,41,36,0.0
1763656248.6386683,2080000,3,282.7369689941406,124.25344848632812,14,6,67,37,0.0
1763656248.6718454,2115000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.6718454,2115000,2,350.8328552246094,188.32022094726562,17,9,41,35,0.0
1763656248.6718454,2115000,3,276.8203125,125.78282165527344,13,6,67,38,0.0
1763656248.7027018,2145000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.7027018,2145000,2,348.7296142578125,187.36253356933594,17,9,39,34,0.0
1763656248.7027018,2145000,3,269.4034118652344,128.34429931640625,13,6,64,41,0.0
1763656248.7385821,2180000,1,124.1351318359375,262.43243408203125,6,13,6,11,0.0
1763656248.7385821,2180000,2,346.27471923828125,186.156982421875,17,9,39,34,0.0
