unix_time,frame_ts_us,id,cx,cy,vx,vy,bx,by,pbx,pby,w,h,processing_time
1763666218.354953,1480000,5,258.3152160644531,384.7044982910156,30.022638,-47.147892,12,19,13,18,42,57,0.0
1763666218.3855047,1515000,1,155.31002807617188,199.98480224609375,-26.070288,72.44481,7,9,7,10,39,62,0.0
1763666218.3855047,1515000,2,290.3277893066406,216.39573669433594,51.934147,54.444702,14,10,14,11,47,51,0.0
1763666218.3855047,1515000,3,495.96221923828125,315.9200439453125,-31.872656,57.025974,24,15,24,16,38,55,0.0
1763666218.3855047,1515000,4,156.77378845214844,371.4394836425781,-75.34002,48.084698,7,18,7,18,56,54,0.0
1763666218.3855047,1515000,5,259.33929443359375,382.0061950683594,32.069527,-84.49871,12,19,13,18,41,57,0.0
1763666218.4180703,1545000,1,154.79493713378906,201.87940979003906,-16.007587,58.87911,7,10,7,10,38,63,0.0
1763666218.4180703,1545000,2,291.4288024902344,217.57200622558594,34.21641,36.555172,14,10,14,11,45,50,0.0
1763666218.4180703,1545000,3,494.86956787109375,317.37744140625,-33.95655,45.29184,24,15,24,16,37,56,0.0
1763666218.4180703,1545000,4,154.98294067382812,372.47076416015625,-55.654545,32.049316,7,18,7,18,55,54,0.0
1763666218.4180703,1545000,5,260.1037902832031,380.30645751953125,23.758394,-52.823093,13,19,13,18,40,57,0.0
1763666218.4532845,1580000,1,154.33489990234375,203.96165466308594,-12.766801,57.78577,7,10,7,10,36,63,0.0
1763666218.4532845,1580000,2,293.212646484375,219.53611755371094,49.504646,54.507366,14,10,15,11,45,51,0.0
1763666218.4532845,1580000,3,493.46722412109375,320.0393371582031,-38.91738,73.87205,24,16,24,16,37,54,0.0
1763666218.4532845,1580000,4,152.97776794433594,373.66400146484375,-55.64689,33.114326,7,18,7,18,54,54,0.0
1763666218.4532845,1580000,5,260.6271057128906,378.3191223144531,14.522877,-55.15187,13,18,13,18,39,58,0.0
1763666218.4853575,1615000,1,153.25039672851562,207.32992553710938,-34.123283,105.98075,7,10,7,11,37,62,0.0
