unix_time_ms,sim_time_ms,obstacle_id,grid_x,grid_y,neuron_id
1763656258737,955,2,13,13,429
1763656258741,958,3,22,13,438
1763656258743,961,1,6,13,422
1763656258746,964,2,13,14,461
1763656258748,966,3,22,13,438
1763656258751,969,1,6,13,422
1763656258754,972,2,13,14,461
1763656258757,974,3,22,12,406
1763656258759,977,1,6,13,422
1763656258762,980,2,13,14,461
1763656258764,982,3,22,12,406
1763656258767,985,1,6,13,422
1763656258770,987,2,13,14,461
1763656258772,990,3,22,12,406
1763656258775,993,1,6,13,422
1763656258778,996,2,13,14,461
1763656258781,999,3,22,11,374
1763656258783,1001,1,6,13,422
1763656258786,1004,2,13,14,461
1763656258789,1007,3,22,11,374
1763656258792,1009,1,6,13,422
1763656258794,1012,2,13,14,461
1763656258797,1014,3,22,10,342
1763656258799,1017,1,6,13,422
1763656258802,1020,2,13,14,461
1763656258805,1023,3,22,10,342
1763656258808,1026,1,6,13,422
1763656258811,1029,2,13,14,461
1763656258813,1031,3,22,10,342
1763656258816,1034,1,6,13,422
1763656258819,1037,2,13,14,461
1763656258821,1039,3,21,10,341
1763656258824,1042,1,6,13,422
1763656258827,1044,2,14,14,462
1763656258829,1047,3,21,9,309
1763656258832,1050,1,6,13,422
1763656258834,1052,2,14,15,494
1763656258837,1055,3,21,9,309
1763656258840,1058,1,6,13,422
1763656258843,1061,2,14,15,494
1763656258846,1064,3,21,9,309
1763656258849,1067,1,6,13,422
1763656258851,1069,2,14,15,494
1763656258854,1072,3,21,8,277
1763656258858,1075,1,6,13,422
1763656258860,1078,2,14,15,494
1763656258863,1081,3,21,8,277
1763656258865,1083,1,6,11,358
1763656258868,1086,2,14,15,494
1763656258870,1088,3,20,8,276
1763656258874,1091,1,6,11,358
1763656258876,1094,2,14,15,494
1763656258879,1097,3,20,8,276
1763656258882,1100,1,5,12,389
1763656258884,1102,2,14,15,494
1763656258887,1105,3,20,7,244
1763656258890,1107,1,5,13,421
1763656258892,1110,2,14,15,494
1763656258895,1113,3,19,7,243
1763656258897,1115,1,6,13,422
1763656258900,1118,2,15,15,495
1763656258902,1120,3,19,7,243
1763656258905,1123,1,6,14,454
1763656258907,1125,2,15,15,495
1763656258910,1128,3,19,6,211
1763656258913,1131,1,6,14,454
1763656258916,1133,2,15,15,495
1763656258918,1136,3,19,6,211
1763656258921,1139,1,6,15,486
1763656258924,1142,2,15,15,495
1763656258926,1144,3,18,6,210
1763656258929,1147,1,6,16,518
1763656258931,1149,2,15,15,495
1763656258934,1152,3,18,6,210
1763656258937,1155,1,6,16,518
1763656258940,1157,2,15,15,495
1763656258942,1160,3,17,6,209
1763656258945,1163,1,7,17,551
1763656258948,1165,2,15,15,495
1763656258950,1168,3,17,6,209
1763656258953,1171,1,7,17,551
1763656258956,1174,2,15,15,495
1763656258958,1176,3,17,6,209
1763656258961,1179,1,7,18,583
1763656258964,1181,2,15,15,495
1763656258966,1184,3,16,6,208
1763656258969,1187,1,8,18,584
1763656258973,1191,2,16,15,496
1763656258976,1194,3,16,6,208
1763656258979,1197,1,8,19,616
1763656258981,1199,2,16,15,496
1763656258984,1202,3,16,6,208
1763656258987,1205,1,8,19,616
1763656258989,1207,2,16,15,496
1763656258992,1210,3,15,6,207
1763656258994,1212,1,9,20,649
1763656258997,1215,2,16,15,496
1763656259000,1218,3,15,5,175
1763656259003,1220,1,9,20,649
1763656259006,1224,2,16,15,496
1763656259009,1227,3,15,6,207
1763656259012,1229,1,10,20,650
1763656259014,1232,2,16,15,496
1763656259017,1235,3,14,6,206
1763656259020,1238,1,11,21,683
1763656259022,1240,2,16,15,496
1763656259025,1243,3,14,6,206
1763656259028,1246,1,11,21,683
1763656259030,1248,2,16,15,496
1763656259033,1251,3,14,6,206
1763656259036,1254,1,12,21,684
1763656259039,1257,2,16,15,496
1763656259042,1260,3,13,6,205
1763656259044,1262,1,12,22,716
1763656259047,1265,2,17,15,497
1763656259049,1267,3,13,6,205
1763656259052,1270,1,13,22,717
1763656259055,1273,2,17,15,497
1763656259058,1276,3,13,6,205
1763656259060,1278,1,14,22,718
1763656259063,1281,2,17,15,497
1763656259065,1283,3,12,6,204
1763656259068,1286,1,14,22,718
1763656259070,1288,2,17,15,497
1763656259073,1291,3,12,6,204
1763656259076,1294,1,15,22,719
1763656259079,1296,2,17,15,497
1763656259081,1299,3,12,6,204
1763656259084,1302,1,15,22,719
1763656259086,1304,2,17,15,497
1763656259089,1307,3,12,7,236
1763656259091,1309,1,16,22,720
1763656259094,1312,2,17,15,497
1763656259097,1314,3,11,7,235
1763656259099,1317,1,17,22,721
1763656259102,1319,2,17,15,497
1763656259104,1322,3,11,7,235
1763656259107,1325,1,17,22,721
1763656259110,1328,2,17,15,497
1763656259113,1331,3,11,7,235
1763656259116,1333,1,18,22,722
1763656259118,1336,2,17,14,465
1763656259121,1339,3,11,8,267
1763656259124,1342,1,18,21,690
1763656259126,1344,2,18,14,466
1763656259129,1347,3,10,8,266
1763656259132,1350,1,19,21,691
1763656259134,1352,2,18,14,466
1763656259137,1355,3,10,8,266
1763656259140,1358,1,20,21,692
1763656259142,1360,2,18,14,466
1763656259147,1365,3,10,8,266
1763656259150,1368,1,20,21,692
1763656259152,1370,2,18,14,466
1763656259155,1373,3,10,9,298
1763656259158,1376,1,21,20,661
1763656259160,1378,2,18,14,466
1763656259163,1381,3,10,9,298
1763656259166,1384,1,21,20,661
1763656259168,1386,2,18,14,466
1763656259171,1389,3,9,9,297
1763656259174,1392,1,22,20,662
1763656259177,1395,2,18,14,466
1763656259180,1398,3,9,10,329
1763656259182,1400,1,22,19,630
1763656259185,1403,2,18,14,466
1763656259188,1405,3,9,10,329
1763656259191,1408,1,22,19,630
1763656259193,1411,2,18,14,466
1763656259196,1414,3,9,10,329
1763656259199,1416,1,23,18,599
1763656259201,1419,2,18,14,466
1763656259204,1422,3,9,11,361
1763656259208,1426,1,23,18,599
1763656259210,1428,2,18,14,466
1763656259213,1431,3,9,11,361
1763656259215,1433,1,24,17,568
1763656259218,1436,2,18,13,434
1763656259221,1439,3,9,11,361
1763656259223,1441,1,24,17,568
1763656259226,1444,2,18,13,434
1763656259228,1446,3,9,12,393
1763656259231,1449,1,24,16,536
1763656259234,1452,2,19,13,435
1763656259237,1454,3,9,12,393
1763656259239,1457,1,24,16,536
1763656259242,1459,2,19,13,435
1763656259244,1462,3,9,13,425
1763656259247,1465,1,25,15,505
1763656259249,1467,2,19,13,435
1763656259252,1470,3,9,13,425
1763656259255,1473,1,25,15,505
1763656259257,1475,2,19,13,435
1763656259260,1478,3,9,13,425
1763656259263,1480,1,25,14,473
1763656259265,1483,2,19,13,435
1763656259268,1486,3,9,14,457
1763656259271,1488,1,25,13,441
1763656259274,1492,2,19,13,435
1763656259278,1496,3,9,14,457
1763656259280,1498,1,25,13,441
1763656259283,1501,2,19,13,435
1763656259286,1504,3,9,14,457
1763656259289,1507,1,25,12,409
1763656259292,1510,2,19,13,435
1763656259295,1513,3,9,15,489
1763656259298,1516,1,25,12,409
1763656259300,1518,2,19,12,403
1763656259303,1521,3,10,15,490
1763656259306,1524,1,25,11,377
1763656259310,1527,2,19,12,403
1763656259312,1530,3,10,15,490
1763656259315,1533,1,25,10,345
1763656259318,1536,2,19,12,403
1763656259320,1538,3,10,16,522
1763656259323,1541,1,25,10,345
1763656259325,1543,2,19,12,403
1763656259328,1546,3,10,16,522
1763656259331,1548,1,24,9,312
1763656259333,1551,2,19,12,403
1763656259336,1554,3,11,16,523
1763656259339,1557,1,24,9,312
1763656259341,1559,2,19,12,403
1763656259344,1562,3,11,17,555
1763656259347,1565,1,24,8,280
1763656259349,1567,2,19,12,403
1763656259352,1570,3,11,17,555
1763656259354,1572,1,24,8,280
1763656259357,1575,2,19,12,403
1763656259360,1578,3,11,17,555
1763656259363,1581,1,23,7,247
1763656259365,1583,2,19,12,403
1763656259368,1586,3,12,17,556
1763656259371,1589,1,23,7,247
1763656259374,1592,2,19,11,371
1763656259377,1595,3,12,17,556
1763656259380,1598,1,23,6,215
1763656259382,1600,2,19,11,371
1763656259385,1603,3,12,18,588
1763656259387,1605,1,22,6,214
1763656259390,1608,2,19,11,371
1763656259393,1611,3,13,18,589
1763656259395,1613,1,22,5,182
1763656259398,1616,2,19,11,371
1763656259401,1619,3,13,18,589
1763656259404,1622,1,21,5,181
1763656259408,1626,2,19,11,371
1763656259411,1628,3,13,18,589
1763656259413,1631,1,21,5,181
1763656259416,1634,2,19,11,371
1763656259418,1636,3,14,18,590
1763656259421,1639,1,21,4,149
1763656259424,1642,2,19,11,371
1763656259426,1644,3,14,18,590
1763656259429,1647,1,20,4,148
1763656259432,1649,2,19,11,371
1763656259434,1652,3,14,18,590
1763656259437,1655,1,19,4,147
1763656259439,1657,2,19,11,371
1763656259442,1660,3,15,18,591
1763656259448,1666,1,19,3,115
1763656259450,1668,2,18,10,338
1763656259453,1671,3,15,18,591
1763656259456,1673,1,18,3,114
1763656259458,1676,2,18,10,338
1763656259461,1679,3,15,18,591
1763656259464,1682,1,18,3,114
1763656259466,1684,2,18,10,338
1763656259469,1687,3,16,18,592
1763656259472,1690,1,17,3,113
1763656259476,1694,2,18,10,338
1763656259478,1696,3,16,18,592
1763656259481,1699,1,17,3,113
1763656259484,1702,2,18,10,338
1763656259486,1704,3,17,18,593
1763656259489,1707,1,16,3,112
1763656259492,1710,2,18,10,338
1763656259495,1712,3,17,18,593
1763656259497,1715,1,16,3,112
1763656259500,1718,2,18,10,338
1763656259503,1720,3,17,18,593
1763656259506,1724,1,15,3,111
1763656259508,1726,2,18,10,338
1763656259512,1730,3,18,18,594
1763656259514,1732,1,14,3,110
1763656259517,1735,2,18,10,338
1763656259520,1737,3,18,18,594
1763656259522,1740,1,14,3,110
1763656259525,1743,2,18,10,338
1763656259528,1746,3,18,18,594
1763656259530,1748,1,13,3,109
1763656259533,1751,2,18,10,338
1763656259536,1754,3,19,18,595
1763656259539,1757,1,13,3,109
1763656259542,1759,2,18,9,306
1763656259544,1762,3,19,17,563
1763656259547,1765,1,12,3,108
1763656259549,1767,2,18,9,306
1763656259552,1770,3,19,17,563
1763656259555,1773,1,12,3,108
1763656259558,1775,2,18,9,306
1763656259560,1778,3,19,17,563
1763656259563,1781,1,11,3,107
1763656259565,1783,2,18,9,306
1763656259568,1786,3,20,17,564
1763656259571,1789,1,11,4,139
1763656259574,1792,2,17,9,305
1763656259577,1795,3,20,17,564
1763656259579,1797,1,10,4,138
1763656259582,1800,2,17,9,305
1763656259585,1803,3,20,16,532
1763656259588,1805,1,10,4,138
1763656259590,1808,2,17,9,305
1763656259593,1811,3,21,16,533
1763656259596,1814,1,9,5,169
1763656259598,1816,2,17,9,305
1763656259601,1819,3,21,16,533
1763656259604,1822,1,9,5,169
1763656259607,1824,2,17,9,305
1763656259609,1827,3,21,15,501
1763656259612,1830,1,8,5,168
1763656259615,1832,2,17,9,305
1763656259617,1835,3,21,15,501
1763656259620,1838,1,8,6,200
1763656259623,1841,2,17,9,305
1763656259625,1843,3,21,15,501
1763656259628,1846,1,7,6,199
1763656259630,1848,2,17,9,305
1763656259633,1851,3,21,14,469
1763656259636,1854,1,7,7,231
1763656259638,1856,2,17,9,305
1763656259641,1859,3,22,14,470
1763656259644,1862,1,7,7,231
1763656259647,1864,2,17,9,305
1763656259649,1867,3,22,14,470
1763656259652,1870,1,7,8,263
1763656259655,1872,2,16,9,304
1763656259657,1875,3,22,13,438
1763656259660,1878,1,6,8,262
1763656259662,1880,2,16,9,304
1763656259665,1883,3,22,13,438
1763656259668,1886,1,6,9,294
1763656259671,1888,2,16,9,304
1763656259674,1891,3,22,13,438
1763656259676,1894,1,6,9,294
1763656259679,1897,2,16,9,304
1763656259681,1899,3,22,12,406
1763656259684,1902,1,6,10,326
1763656259687,1905,2,16,9,304
1763656259690,1907,3,22,12,406
1763656259692,1910,1,6,11,358
1763656259695,1913,2,16,9,304
1763656259697,1915,3,22,12,406
1763656259700,1918,1,6,11,358
1763656259703,1921,2,16,9,304
1763656259706,1923,3,22,11,374
1763656259709,1927,1,5,12,389
1763656259712,1930,2,16,9,304
