t,robot_id,x,y,gx,gy,t_s
1763663611.749746,3,558.9780246384166,210.11100356619244,27,10,1763663611.749746
1763663611.749746,4,364.6776257934532,393.14478632507,18,19,1763663611.749746
1763663611.7655046,0,158.64109090863553,153.2332132102804,7,7,1763663611.7655046
1763663611.7655046,1,199.3368481311486,74.48930455315515,9,3,1763663611.7655046
1763663611.7655046,2,315.8943934766428,229.25464793329016,15,11,1763663611.7655046
1763663611.7655046,3,558.7352524729947,209.14092023178432,27,10,1763663611.7655046
1763663611.7655046,4,365.67146677487546,393.255601954137,18,19,1763663611.7655046
1763663611.7818775,0,159.20883069464,152.41000513489024,7,7,1763663611.7818775
1763663611.7818775,1,198.8284263153828,75.35041270969145,9,3,1763663611.7818775
1763663611.7818775,2,316.72129022440646,229.8170017085401,15,11,1763663611.7818775
1763663611.7818775,3,558.529153806209,208.16238901636544,27,10,1763663611.7818775
1763663611.7818775,4,366.6658732827741,393.3612224874105,18,19,1763663611.7818775
1763663611.797664,0,159.6709547358084,151.52318983812648,7,7,1763663611.797664
1763663611.797664,1,198.2210769991282,76.14484760824837,9,3,1763663611.797664
1763663611.797664,2,317.53623251823427,230.39654381894337,15,11,1763663611.797664
1763663611.797664,3,558.4180365515492,207.1685817132544,27,10,1763663611.797664
1763663611.797664,4,367.6613778243588,393.4559363073321,18,19,1763663611.797664
1763663611.8144343,0,160.21190338415468,150.68213421579682,8,7,1763663611.8144343
1763663611.8144343,1,197.73862529083263,77.02077017854936,9,3,1763663611.8144343
1763663611.8144343,2,318.32372292545006,231.01287072776947,15,11,1763663611.8144343
1763663611.8144343,3,558.2703198368107,206.179552000765,27,10,1763663611.8144343
1763663611.8144343,4,368.6586686327469,393.5294961027681,18,19,1763663611.8144343
1763663611.8313422,0,160.82554319164865,149.8925481301426,8,7,1763663611.8313422
1763663611.8313422,1,197.3672415804921,77.94924965580974,9,3,1763663611.8313422
1763663611.8313422,2,319.0481945080618,231.7021753962493,15,11,1763663611.8313422
1763663611.8313422,3,558.2672400737531,205.17955674324648,27,10,1763663611.8313422
1763663611.8313422,4,369.6348120333602,393.7466229353777,18,19,1763663611.8313422
1763663611.8471286,0,161.3829340639004,149.0622979175377,8,7,1763663611.8471286
1763663611.8471286,1,197.1341010845137,78.92169271796553,9,3,1763663611.8471286
1763663611.8471286,2,319.7574034657116,232.4071737326936,15,11,1763663611.8471286
1763663611.8471286,3,558.1368975122433,204.18808772373092,27,10,1763663611.8471286
1763663611.8471286,4,370.61996226722727,393.91831748017086,18,19,1763663611.8471286
1763663611.863065,0,162.04611504700682,148.31383884474482,8,7,1763663611.863065
1763663611.863065,1,196.93223764636605,79.90110639580509,9,3,1763663611.863065
1763663611.863065,2,320.514868776892,233.0600491437472,16,11,1763663611.863065
1763663611.863065,3,557.9274685893514,203.21026385091116,27,10,1763663611.863065
1763663611.863065,4,371.5712332749855,394.2266735564832,18,19,1763663611.863065
1763663611.8790126,0,162.79658881264191,147.65293860484965,8,7,1763663611.8790126
1763663611.8790126,1,196.7679223645516,80.88751426690214,9,4,1763663611.8790126
1763663611.8790126,2,321.2494769312044,233.73854074989853,16,11,1763663611.8790126
1763663611.8790126,3,557.7938869449927,202.2192260391752,27,10,1763663611.8790126
1763663611.8790126,4,372.52782876085377,394.5180926300119,18,19,1763663611.8790126
1763663611.8951623,0,163.60874140006226,147.06949351339165,8,7,1763663611.8951623
1763663611.8951623,1,196.69797191219888,81.88506473390402,9,4,1763663611.8951623
1763663611.8951623,2,321.9804752900815,234.42091996948173,16,11,1763663611.8951623
1763663611.8951623,3,557.5806863721652,201.2422175869364,27,10,1763663611.8951623
1763663611.8951623,4,373.5112763663364,394.6992853651604,18,19,1763663611.8951623
1763663611.9110932,0,164.38566942521197,146.43990408865758,8,7,1763663611.9110932
1763663611.9110932,1,196.66831007821096,82.8846247249023,9,4,1763663611.9110932
1763663611.9110932,2,322.8045861908641,234.9873484497079,16,11,1763663611.9110932
1763663611.9110932,3,557.3512710684255,200.26888895876908,27,10,1763663611.9110932
1763663611.9110932,4,374.48253808908095,394.9372993688056,18,19,1763663611.9110932
1763663611.9270222,0,165.0978090930287,145.73786627377729,8,7,1763663611.9270222
1763663611.9270222,1,196.73456256225413,83.88242761543634,9,4,1763663611.9270222
1763663611.9270222,2,323.6844923136498,235.4624960216097,16,11,1763663611.9270222
1763663611.9270222,3,557.2135298505848,199.27842070743148,27,9,1763663611.9270222
1763663611.9270222,4,375.427100013622,395.26563269137176,18,19,1763663611.9270222
1763663611.942912,0,165.7885033808165,145.01471940016356,8,7,1763663611.942912
1763663611.942912,1,196.91356335614893,84.86627654478731,9,4,1763663611.942912
1763663611.942912,2,324.61507157562886,235.82858649836984,16,11,1763663611.942912
1763663611.942912,3,557.0842339298354,198.2868146541636,27,9,1763663611.942912
1763663611.942912,4,376.351496606657,395.647065436145,18,19,1763663611.942912
1763663611.9591749,0,166.4308733012886,144.2483246681405,8,7,1763663611.9591749
1763663611.9591749,1,197.1317065448008,85.8421933185159,9,4,1763663611.9591749
1763663611.9591749,2,325.57727929862085,236.10090303810733,16,11,1763663611.9591749
1763663611.9591749,3,557.0070588369299,197.28979709913503,27,9,1763663611.9591749
1763663611.9591749,4,377.3127980477276,395.9225641464789,18,19,1763663611.9591749
1763663611.9745626,0,167.15086164664297,143.55433851370088,8,7,1763663611.9745626
1763663611.9745626,1,197.4794290666022,86.77979080562434,9,4,1763663611.9745626
1763663611.9745626,2,326.5064614573499,236.47052516393265,16,11,1763663611.9745626
1763663611.9745626,3,556.9049449275363,196.2950243866483,27,9,1763663611.9745626
1763663611.9745626,4,378.2923574046736,396.12371947506745,18,19,1763663611.9745626
1763663611.9911983,0,167.85085023008835,142.8401844805637,8,7,1763663611.9911983
1763663611.9911983,1,197.9447340662608,87.66494122069102,9,4,1763663611.9911983
1763663611.9911983,2,327.4760483062764,236.7152726713535,16,11,1763663611.9911983
1763663611.9911983,3,556.9027398985165,195.2950268177277,27,9,1763663611.9911983
1763663611.9911983,4,379.2666373004871,396.3490607376306,18,19,1763663611.9911983
1763663612.00695,0,168.5985203144716,142.1761141191423,8,7,1763663612.00695
1763663612.00695,1,198.3677749255725,88.57105182726885,9,4,1763663612.00695
1763663612.00695,2,328.467836006907,236.84316777242432,16,11,1763663612.00695
1763663612.00695,3,556.7914642267639,194.3012372399619,27,9,1763663612.00695
1763663612.00695,4,380.2577599245408,396.4820116461977,19,19,1763663612.00695
1763663612.0227048,0,169.40851854500636,141.58968179863928,8,7,1763663612.0227048
1763663612.0227048,1,198.6931428699976,89.5166393170024,9,4,1763663612.0227048
1763663612.0227048,2,329.4479757932576,237.04147561193807,16,11,1763663612.0227048
1763663612.0227048,3,556.7684895844459,193.301501191892,27,9,1763663612.0227048
1763663612.0227048,4,381.2565546046103,396.531095116582,19,19,1763663612.0227048
1763663612.0392852,0,170.2848019884771,141.10788585978233,8,7,1763663612.0392852
1763663612.0392852,1,198.87395680486455,90.50015663812997,9,4,1763663612.0392852
