unix_time_ms,sim_time_ms,robot_id,grid_x,grid_y,neuron_id,event_type
1763662370835,4220,5,19,9,307,inject
1763662370838,4223,3,19,9,307,repel
1763662370838,4223,5,19,9,307,repel
1763662370845,4230,4,26,14,474,inject
1763662370855,4241,1,19,18,595,inject
1763662370866,4251,5,19,9,307,inject
1763662370869,4254,3,19,9,307,repel
1763662370869,4254,5,19,9,307,repel
1763662370876,4261,4,26,14,474,inject
1763662370886,4272,1,19,18,595,inject
1763662370896,4282,5,18,9,306,inject
1763662370900,4285,3,18,9,306,repel
1763662370900,4285,5,18,9,306,repel
1763662370907,4292,4,26,14,474,inject
1763662370917,4303,2,22,8,278,inject
1763662370927,4313,1,19,18,595,inject
1763662370938,4323,5,18,9,306,inject
1763662370941,4326,3,18,9,306,repel
1763662370941,4326,5,18,9,306,repel
1763662370948,4334,4,26,14,474,inject
1763662370958,4344,2,22,8,278,inject
1763662370969,4354,1,19,18,595,inject
1763662370979,4365,5,18,9,306,inject
1763662370982,4367,3,18,9,306,repel
1763662370982,4367,5,18,9,306,repel
1763662370989,4375,4,26,14,474,inject
1763662371000,4385,2,22,8,278,inject
1763662371010,4396,1,19,18,595,inject
1763662371020,4406,5,17,9,305,inject
1763662371031,4416,4,26,14,474,inject
1763662371041,4426,2,22,8,278,inject
1763662371051,4437,1,19,17,563,inject
1763662371062,4447,5,17,9,305,inject
1763662371066,4451,3,17,9,305,repel
1763662371066,4451,5,17,9,305,repel
1763662371072,4457,4,26,14,474,inject
1763662371082,4468,2,22,8,278,inject
1763662371092,4478,1,19,17,563,inject
1763662371103,4488,5,17,9,305,inject
1763662371107,4492,3,17,9,305,repel
1763662371107,4492,5,17,9,305,repel
1763662371113,4498,4,26,14,474,inject
1763662371123,4509,2,22,8,278,inject
1763662371134,4519,1,19,17,563,inject
1763662371144,4529,5,17,9,305,inject
1763662371148,4533,3,17,9,305,repel
1763662371148,4533,5,17,9,305,repel
1763662371154,4540,4,26,14,474,inject
1763662371164,4550,2,22,8,278,inject
1763662371175,4560,1,19,17,563,inject
1763662371185,4570,5,17,9,305,inject
1763662371189,4574,3,17,9,305,repel
1763662371189,4574,5,17,9,305,repel
1763662371195,4581,4,27,14,475,inject
1763662371206,4591,2,23,8,279,inject
1763662371216,4601,1,19,17,563,inject
1763662371226,4612,5,17,8,273,inject
1763662371237,4622,4,27,13,443,inject
1763662371249,4634,2,23,8,279,inject
1763662371259,4645,3,16,10,336,inject
1763662371270,4656,1,19,17,563,inject
1763662371280,4666,5,17,7,241,inject
1763662371291,4676,4,27,13,443,inject
1763662371301,4687,2,23,8,279,inject
1763662371311,4697,3,16,10,336,inject
1763662371322,4707,1,19,16,531,inject
1763662371332,4717,5,17,7,241,inject
1763662371342,4728,4,27,13,443,inject
1763662371352,4738,2,23,8,279,inject
1763662371363,4748,3,16,10,336,inject
1763662371373,4758,1,19,16,531,inject
1763662371383,4769,5,17,7,241,inject
1763662371394,4779,4,27,13,443,inject
1763662371404,4789,2,23,8,279,inject
1763662371414,4800,3,16,10,336,inject
1763662371424,4810,1,19,16,531,inject
1763662371435,4820,5,16,7,240,inject
1763662371445,4831,4,27,13,443,inject
1763662371455,4841,2,23,8,279,inject
1763662371466,4851,3,16,11,368,inject
1763662371476,4861,1,19,16,531,inject
1763662371486,4872,5,16,7,240,inject
1763662371497,4882,4,27,13,443,inject
1763662371507,4893,2,24,8,280,inject
1763662371517,4903,3,16,11,368,inject
1763662371528,4913,1,19,16,531,inject
1763662371538,4923,5,16,7,240,inject
1763662371548,4934,4,27,13,443,inject
1763662371559,4944,2,24,8,280,inject
1763662371569,4954,3,16,11,368,inject
1763662371579,4965,1,19,16,531,inject
1763662371590,4975,5,16,7,240,inject
1763662371600,4985,4,27,13,443,inject
1763662371610,4996,2,24,7,248,inject
1763662371621,5006,3,16,11,368,inject
1763662371631,5016,1,19,16,531,inject
1763662371641,5027,5,16,7,240,inject
1763662371651,5037,4,27,13,443,inject
1763662371662,5047,2,24,7,248,inject
1763662371672,5058,3,15,11,367,inject
1763662371683,5068,1,19,15,499,inject
1763662371693,5078,5,16,7,240,inject
1763662371703,5089,4,27,13,443,inject
1763662371714,5099,2,24,7,248,inject
1763662371724,5109,3,15,11,367,inject
1763662371734,5120,1,19,15,499,inject
1763662371745,5130,5,15,7,239,inject
1763662371755,5140,4,28,13,444,inject
1763662371765,5151,2,24,7,248,inject
1763662371776,5161,3,15,11,367,inject
1763662371786,5171,1,19,15,499,inject
1763662371796,5182,5,15,7,239,inject
1763662371807,5192,4,28,13,444,inject
